2024-07-24 01:45:54.887 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 17.0.7 on zhengbiaodeMacBook-Air.local with PID 27362 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-07-24 01:45:54.892 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-07-24 01:45:55.022 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor -- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable -- 
2024-07-24 01:45:55.022 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor -- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' -- 
2024-07-24 01:45:57.237 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-07-24 01:45:57.462 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 218 ms. Found 2 JPA repository interfaces. -- 
2024-07-24 01:45:59.112 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-07-24 01:45:59.128 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-07-24 01:45:59.128 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-07-24 01:45:59.129 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-07-24 01:45:59.249 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-07-24 01:45:59.249 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 4225 ms -- 
2024-07-24 01:45:59.941 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Starting... -- 
2024-07-24 01:46:00.642 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Start completed. -- 
2024-07-24 01:46:01.716 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-07-24 01:46:03.123 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-07-24 01:46:03.843 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-07-24 01:46:04.028 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-07-24 01:46:04.204 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: c21747c6-a558-4351-bc58-b3a87fd80372
 -- 
2024-07-24 01:46:04.344 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@128d084f, org.springframework.security.web.context.SecurityContextPersistenceFilter@392d8c32, org.springframework.security.web.header.HeaderWriterFilter@2491c298, org.springframework.web.filter.CorsFilter@5ad7ae28, org.springframework.security.web.authentication.logout.LogoutFilter@161baf3b, com.freebe.code.web.filter.JWTAuthenticationFilter@639fe81c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3a7976cd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4791b459, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@21fdc812, org.springframework.security.web.session.SessionManagementFilter@141c9f1c, org.springframework.security.web.access.ExceptionTranslationFilter@274c907f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4a632c93] -- 
2024-07-24 01:46:04.472 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-07-24 01:46:04.491 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-07-24 01:46:04.935 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 11.412 seconds (JVM running for 13.827) -- 
2024-07-24 01:46:23.681 [http-nio-8990-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring DispatcherServlet 'dispatcherServlet' -- 
2024-07-24 01:46:23.683 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet -- Initializing Servlet 'dispatcherServlet' -- 
2024-07-24 01:46:23.691 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet -- Completed initialization in 7 ms -- 
2024-07-24 01:46:30.897 [http-nio-8990-exec-2] WARN  org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver -- Resolved [com.freebe.code.common.CustomException: openapi 接口请: 无可用代码] -- 
2024-07-24 01:47:08.273 [Thread-4] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-07-24 01:47:08.283 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown initiated... -- 
2024-07-24 01:47:08.300 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown completed. -- 
2024-07-24 01:47:08.614 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 17.0.7 on zhengbiaodeMacBook-Air.local with PID 27362 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-07-24 01:47:08.614 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-07-24 01:47:09.212 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-07-24 01:47:09.310 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 97 ms. Found 2 JPA repository interfaces. -- 
2024-07-24 01:47:09.548 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-07-24 01:47:09.550 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-07-24 01:47:09.551 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-07-24 01:47:09.552 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-07-24 01:47:09.577 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-07-24 01:47:09.578 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 946 ms -- 
2024-07-24 01:47:09.734 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Starting... -- 
2024-07-24 01:47:09.798 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Start completed. -- 
2024-07-24 01:47:09.988 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-07-24 01:47:10.456 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-07-24 01:47:10.609 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-07-24 01:47:10.638 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-07-24 01:47:10.670 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: 30717174-c499-435b-8306-54d63117b134
 -- 
2024-07-24 01:47:10.679 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7f2f3c43, org.springframework.security.web.context.SecurityContextPersistenceFilter@156163e5, org.springframework.security.web.header.HeaderWriterFilter@27103413, org.springframework.web.filter.CorsFilter@313df0d7, org.springframework.security.web.authentication.logout.LogoutFilter@616cc2ae, com.freebe.code.web.filter.JWTAuthenticationFilter@5ecaa0cc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e56b8cd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5840bbb8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@519c86cf, org.springframework.security.web.session.SessionManagementFilter@2f4a3e2, org.springframework.security.web.access.ExceptionTranslationFilter@6bb00d81, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@11efcee2] -- 
2024-07-24 01:47:10.700 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-07-24 01:47:10.701 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-07-24 01:47:10.843 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 2.346 seconds (JVM running for 79.734) -- 
2024-07-24 01:47:10.855 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener -- Condition evaluation unchanged -- 
2024-07-24 01:47:14.824 [http-nio-8990-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring DispatcherServlet 'dispatcherServlet' -- 
2024-07-24 01:47:14.825 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet -- Initializing Servlet 'dispatcherServlet' -- 
2024-07-24 01:47:14.828 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet -- Completed initialization in 3 ms -- 
2024-07-24 01:49:37.205 [Thread-7] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-07-24 01:49:37.208 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Shutdown initiated... -- 
2024-07-24 01:49:37.215 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Shutdown completed. -- 
2024-07-24 01:49:37.665 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 17.0.7 on zhengbiaodeMacBook-Air.local with PID 27362 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-07-24 01:49:37.665 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-07-24 01:49:38.035 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-07-24 01:49:38.230 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 193 ms. Found 2 JPA repository interfaces. -- 
2024-07-24 01:49:38.431 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-07-24 01:49:38.433 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-07-24 01:49:38.434 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-07-24 01:49:38.434 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-07-24 01:49:38.452 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-07-24 01:49:38.452 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 775 ms -- 
2024-07-24 01:49:38.485 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Starting... -- 
2024-07-24 01:49:38.529 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Start completed. -- 
2024-07-24 01:49:38.631 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-07-24 01:49:39.016 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-07-24 01:49:39.227 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-07-24 01:49:39.282 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-07-24 01:49:39.310 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: 8cac0dd0-40b7-4e44-968f-59a894ae01de
 -- 
2024-07-24 01:49:39.327 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@60b98c72, org.springframework.security.web.context.SecurityContextPersistenceFilter@366346f0, org.springframework.security.web.header.HeaderWriterFilter@6f2893f1, org.springframework.web.filter.CorsFilter@3c9a379c, org.springframework.security.web.authentication.logout.LogoutFilter@3db62544, com.freebe.code.web.filter.JWTAuthenticationFilter@6ac41ee1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@73cbe092, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@58574201, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@77af7aea, org.springframework.security.web.session.SessionManagementFilter@53b34c6c, org.springframework.security.web.access.ExceptionTranslationFilter@574255e3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@21bef6d8] -- 
2024-07-24 01:49:39.344 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-07-24 01:49:39.347 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-07-24 01:49:39.462 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 2.042 seconds (JVM running for 228.353) -- 
2024-07-24 01:49:39.473 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener -- Condition evaluation unchanged -- 
2024-07-24 01:49:48.166 [http-nio-8990-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring DispatcherServlet 'dispatcherServlet' -- 
2024-07-24 01:49:48.169 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet -- Initializing Servlet 'dispatcherServlet' -- 
2024-07-24 01:49:48.173 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet -- Completed initialization in 4 ms -- 
2024-07-24 01:51:30.356 [Thread-11] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-07-24 01:51:30.358 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Shutdown initiated... -- 
2024-07-24 01:51:30.366 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Shutdown completed. -- 
