2024-08-22 16:20:01.999 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper -- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.freebe.EmailServiceTest], using SpringBootContextLoader -- 
2024-08-22 16:20:02.005 [main] INFO  org.springframework.test.context.support.AbstractContextLoader -- Could not detect default resource locations for test class [com.freebe.EmailServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}. -- 
2024-08-22 16:20:02.182 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper -- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] -- 
2024-08-22 16:20:02.193 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper -- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5f59185e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@60bdf15d, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@47da3952, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51e4ccb3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@46e8a539, org.springframework.test.context.support.DirtiesContextTestExecutionListener@495083a0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5fd62371, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@28a0fd6c, org.springframework.test.context.event.EventPublishingTestExecutionListener@2b62442c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@66629f63, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@841e575, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@27a5328c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e5f4170, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6c345c5f, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6b5966e1] -- 
2024-08-22 16:20:02.688 [main] INFO  com.freebe.EmailServiceTest -- Starting EmailServiceTest using Java 17.0.7 on zhengbiaodeAir.lan with PID 3865 (started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-08-22 16:20:02.692 [main] INFO  com.freebe.EmailServiceTest -- No active profile set, falling back to default profiles: default -- 
2024-08-22 16:20:04.398 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-08-22 16:20:04.604 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 198 ms. Found 17 JPA repository interfaces. -- 
2024-08-22 16:20:05.870 [main] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Starting... -- 
2024-08-22 16:20:06.366 [main] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Start completed. -- 
2024-08-22 16:20:07.948 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-22 16:20:10.041 [main] INFO  com.freebe.code.common.CommonExecutor -- 启动线程： com.freebe.code.business.meta.service.impl.TransactionTimer$1@33ccc8cd -- 
2024-08-22 16:20:10.124 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-08-22 16:20:11.169 [main] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-08-22 16:20:11.326 [main] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: a827d45f-b19e-46a6-afa7-74b5ed11c0cb
 -- 
2024-08-22 16:20:11.424 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@476e4bb0, org.springframework.security.web.context.SecurityContextPersistenceFilter@75922191, org.springframework.security.web.header.HeaderWriterFilter@7fa9e773, org.springframework.web.filter.CorsFilter@337fd6a1, org.springframework.security.web.authentication.logout.LogoutFilter@5961fad1, com.freebe.code.web.filter.JWTAuthenticationFilter@5a558335, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7addc5e4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@472c13d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@20c9b155, org.springframework.security.web.session.SessionManagementFilter@1abc3085, org.springframework.security.web.access.ExceptionTranslationFilter@5e18309e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@793c2cde] -- 
2024-08-22 16:20:13.445 [main] INFO  com.freebe.EmailServiceTest -- Started EmailServiceTest in 11.193 seconds (JVM running for 12.563) -- 
2024-08-22 16:20:17.269 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-22 16:20:17.273 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown initiated... -- 
2024-08-22 16:20:17.284 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown completed. -- 
